faculty_name,faculty_specialty,faculty_research_topics
"Tor, Yitzhak","Chemical Biology, Organic Chemistry",Ligand-nucleic acid interactions; Antiviral and antibacterial agents; Fluorescent nucleosides and nucleotides; Cellular delivery vehicles
"Wang, Dong",Biochemistry & Molecular Biophysics,"Transcription, Epigenetics, Chromatin Biology, DNA repair"
"Wang, Wei","Biochemistry & Molecular Biophysics,  Chemical Biology,  Theoretical & Computational Chemistry","epigenomics, cellular reprogramming, protein recognition, computational biology, systems biology"
"Weizman, Haim","Chemical Biology, Chemical Education, Organic Chemistry","Chemical education, Bioorganic chemistry"
"Xiong, Wei","Analytical & Atmospheric Chemistry, Materials Chemistry,  Physical Chemistry",Strong-coupling Chemistry and Dynamics; Interfacial Charge transfer; Molecular Structure and Dynamics of Self-Assembled Materials
"Yang, Jerry","Biochemistry & Molecular Biophysics, Chemical Biology,  Organic Chemistry","Bioorganic Chemistry, Molecular Self-Assembly, Molecular Synthesis, Materials Chemistry, Bionanotechnology"
"Yong, Haiwang","Analytical & Atmospheric Chemistry, Physical Chemistry, Theoretical & Computational Chemistry",Experimental Physical Chemistry; Theoretical Spectroscopy; Ultrafast X-ray/Electron Scattering; Ultrafast Molecular Spectroscopy; Chemical Dynamics; Chirality
"Young, Mark","Analytical & Atmospheric Chemistry, Chemical Education, Physical Chemistry","Chemistry of the atmosphere, hydrosphere, and lithosphere"
"Yuen-Zhou, Joel","Physical Chemistry, Theoretical & Computational Chemistry",Quantum molecular photonics
"Zid, Brian ",Biochemistry & Molecular Biophysics,Gene Expression Control During Stress; mRNA Localization to Membrane-Less Compartments
